Video Title,Song Name,Song Date,Song Type,Featuring Artists,Number of Likes,Number of Views,Number of Comments
Sanfara - Taw Nbi3 (Official Music Video) | تو نبيع,Sanfara - Taw Nbi3 (Official Music Video) | تو نبيع,2024-06-06T11:00:00Z,Solo,[],14810,573843,760
Sanfara - Qatra (Official Music Video) | قطرة,Sanfara - Qatra (Official Music Video) | قطرة,2024-05-23T12:29:08Z,Solo,[],28424,1894363,1236
Sanfara - Lambo (Official Music Video),Sanfara - Lambo (Official Music Video),2024-05-10T13:00:21Z,Solo,[],15470,676824,782
Sanfara - Oumouri (Official Music Video) | أموري,Sanfara - Oumouri (Official Music Video) | أموري,2024-04-26T13:01:40Z,Solo,[],21173,1296550,971
Sanfara - Shottas (Official Music Video),Sanfara - Shottas (Official Music Video),2024-01-06T15:00:11Z,Solo,[],18715,1057892,766
Sanfara - Raby Yostor (Official Music Video) | ربي يستر,Sanfara - Raby Yostor (Official Music Video) | ربي يستر,2023-12-21T16:00:09Z,Solo,[],31242,2131149,1210
Sanfara - Welou (Official Music Video) | والو,Sanfara - Welou (Official Music Video) | والو,2023-12-28T16:00:06Z,Solo,[],23216,1593814,1042
Sanfara - Freestyle VOL.2 (Official Music Video),Sanfara - Freestyle VOL.2 (Official Music Video),2023-12-12T15:39:13Z,Solo,[],19951,861319,1167
Sanfara ft. Ily - Alone (Official Music Video),Sanfara ft. Ily - Alone (Official Music Video),2023-08-03T15:00:38Z,Featuring,Ily - Alone (Official Music Video),41244,4018949,1250
Sanfara - Ba3douk (Official Music Video) | بعدوك,Sanfara - Ba3douk (Official Music Video) | بعدوك,2023-06-20T15:00:17Z,Solo,[],31214,1958576,740
Sanfara - Zizy (Clip Officiel),Sanfara - Zizy (Clip Officiel),2023-06-10T18:16:48Z,Solo,[],23369,1628787,811
Sanfara - Ma9ti (Clip Officiel) | مقطي,Sanfara - Ma9ti (Clip Officiel) | مقطي,2023-06-04T17:05:42Z,Solo,[],20737,1152920,891
Sanfara - Masna3 (Clip Officiel) | مصنع,Sanfara - Masna3 (Clip Officiel) | مصنع,2023-04-29T17:49:39Z,Solo,[],29341,1665118,1238
Sanfara - Lazouni (Clip Officiel) | لزّوني,Sanfara - Lazouni (Clip Officiel) | لزّوني,2018-05-06T18:58:00Z,Solo,[],60631,8861633,2141
Sanfara - INTRO (Clip Officiel),Sanfara - INTRO (Clip Officiel),2021-03-21T16:58:34Z,Solo,[],47389,2170134,2293
Sanfara - COIN EN ENFER (Clip Officiel),Sanfara - COIN EN ENFER (Clip Officiel),2021-03-25T13:41:32Z,Solo,[],24831,829692,1056
Sanfara ft. Manel Amara - MA TEBKICH (Clip Officiel),Sanfara ft. Manel Amara - MA TEBKICH (Clip Officiel),2021-03-27T11:58:42Z,Featuring,Manel Amara - MA TEBKICH (Clip Officiel),31965,1491739,1279
Sanfara ft. A.L.A - JAY YEH (Clip Officiel),Sanfara ft. A.L.A - JAY YEH (Clip Officiel),2021-03-29T12:02:38Z,Featuring,A.L.A - JAY YEH (Clip Officiel),81210,9523499,1703
Sanfara - ALLAH KHIR (Clip Officiel),Sanfara - ALLAH KHIR (Clip Officiel),2021-04-01T17:00:16Z,Solo,[],24270,1179196,712
Sanfara - Btit Alik (Clip Officiel),Sanfara - Btit Alik (Clip Officiel),2021-07-17T19:43:10Z,Solo,[],157008,14435228,3569
Sanfara - Winek Nike (Clip Officiel),Sanfara - Winek Nike (Clip Officiel),2021-08-12T12:52:04Z,Solo,[],62954,3588381,2852
"Sanfara ft. ALA, Brulux - Dybala (Clip Officiel)","Sanfara ft. ALA, Brulux - Dybala (Clip Officiel)",2021-09-13T11:00:05Z,Featuring,"ALA, Brulux - Dybala (Clip Officiel)",110336,6741978,3032
Sanfara - Wakti Yejri (Clip Officiel),Sanfara - Wakti Yejri (Clip Officiel),2021-10-09T11:40:55Z,Solo,[],447801,62166266,9085
Sanfara Ft. Mortadha Ftiti - Beli Wassit (Clip Officiel),Sanfara Ft. Mortadha Ftiti - Beli Wassit (Clip Officiel),2021-10-30T10:46:49Z,Featuring,[],76623,3980573,2115
Sanfara - Freestyle #1,Sanfara - Freestyle #1,2022-02-22T18:09:24Z,Solo,[],41241,1603558,2253
Sanfara - ZA3MALA (Clip Officiel),Sanfara - ZA3MALA (Clip Officiel),2022-05-14T17:38:30Z,Solo,[],28615,971251,1523
Sanfara - DIMA LABES (Clip Officiel) I ديما لاباس,Sanfara - DIMA LABES (Clip Officiel) I ديما لاباس,2022-05-21T15:00:33Z,Solo,[],56427,3765484,1323
Sanfara ft. Chemsou Freeklane - Roma (Clip Officiel) I روما,Sanfara ft. Chemsou Freeklane - Roma (Clip Officiel) I روما,2022-05-28T12:36:12Z,Featuring,Chemsou Freeklane - Roma (Clip Officiel) I روما,42628,1599885,1455
Sanfara - Zidni Bal3a (Clip Officiel) l زيدني بلعة,Sanfara - Zidni Bal3a (Clip Officiel) l زيدني بلعة,2022-11-19T18:41:21Z,Solo,[],79581,13929478,2142
Sanfara - Hbibty Wini (Clip Officiel) l حبيبتي ويني,Sanfara - Hbibty Wini (Clip Officiel) l حبيبتي ويني,2023-01-05T15:07:33Z,Solo,[],35205,3810961,932
Sanfara ft. @KhaledLartiste  - Denya Bkhout (Clip Officiel) l دنيا بخوت,Sanfara ft. @KhaledLartiste  - Denya Bkhout (Clip Officiel) l دنيا بخوت,2023-01-15T15:46:27Z,Featuring,@KhaledLartiste  - Denya Bkhout (Clip Officiel) l دنيا بخوت,28149,1944721,956
Sanfara - Harbi (Clip Officiel) l حربي,Sanfara - Harbi (Clip Officiel) l حربي,2022-12-17T17:02:00Z,Solo,[],49096,4733237,1220
Sanfara - Khoufi (Clip Officiel) l خوفي,Sanfara - Khoufi (Clip Officiel) l خوفي,2022-12-03T18:11:51Z,Solo,[],50168,5833342,1418
Sanfara - Ghrib (Clip Officiel) | غريب,Sanfara - Ghrib (Clip Officiel) | غريب,2022-05-09T11:55:26Z,Solo,[],72869,5753934,2161
Sanfara - Amira (Clip Officiel) | أميرة,Sanfara - Amira (Clip Officiel) | أميرة,2021-03-06T15:08:22Z,Solo,[],83267,5175026,2835
Sanfara - Wra Les Barreaux (Clip Officiel),Sanfara - Wra Les Barreaux (Clip Officiel),2021-02-21T16:00:17Z,Solo,[],47849,1808894,1649
Sanfara - Kelma (Freestyle) | كلمة,Sanfara - Kelma (Freestyle) | كلمة,2021-01-27T16:57:32Z,Solo,[],40432,1350824,1473
Sanfara - Face A Face (Clip Officiel),Sanfara - Face A Face (Clip Officiel),2021-01-19T16:08:54Z,Solo,[],171269,24971046,6065
Sanfara ft. Didine Canon 16 - Doctor (Clip Officiel),Sanfara ft. Didine Canon 16 - Doctor (Clip Officiel),2020-12-31T11:01:45Z,Featuring,Didine Canon 16 - Doctor (Clip Officiel),262373,11910588,9578
Sanfara - Zid Osber (Official Audio) | زيد أصبر,Sanfara - Zid Osber (Official Audio) | زيد أصبر,2020-11-27T20:33:56Z,Solo,[],53997,1588923,3453
Sanfara - Kima Dima | كيما ديما,Sanfara - Kima Dima | كيما ديما,2020-11-19T13:00:01Z,Solo,[],78192,4214542,2564
Sanfara - 3ami | عمّي (Clip Officiel),Sanfara - 3ami | عمّي (Clip Officiel),2020-11-05T12:17:41Z,Solo,[],123420,6984603,4782
Sanfara - Matwasini (Clip Officiel) | متوصيني,Sanfara - Matwasini (Clip Officiel) | متوصيني,2020-10-13T18:25:05Z,Solo,[],137550,8413139,4323
Sanfara - Rak Bi Denya (Clip Officiel) | راك بالدنيا,Sanfara - Rak Bi Denya (Clip Officiel) | راك بالدنيا,2020-07-03T10:41:50Z,Solo,[],152156,9061970,4323
Sanfara ft. Gati - Lil Nhar (Clip Officiel) | ليل نهار,Sanfara ft. Gati - Lil Nhar (Clip Officiel) | ليل نهار,2020-06-17T11:48:54Z,Featuring,Gati - Lil Nhar (Clip Officiel) | ليل نهار,154561,11818477,5412
Sanfara - Chbini Haka | شبيني هكّا (Clip Officiel),Sanfara - Chbini Haka | شبيني هكّا (Clip Officiel),2020-05-29T11:53:29Z,Solo,[],230969,24032556,6155
